video;views;likes;comentarios;publicacao;link_video;horas-publicacao;views/hour
AO VIVO E COM IMAGENS: BRASIL X MÉXICO | VÔLEI FEMININO | SEMIFINAL | PAN-AMERICANO 2023 NA CAZÉTV;812624;47330;85;2023-10-26 02:24:01+00:00;https://www.youtube.com/watch?v=vxW-VacKDQU;12.0;67718.67
AO VIVO | COLETIVA ABEL FERREIRA | PALMEIRAS X SÃO PAULO;150202;11313;455;2023-10-26 01:46:29+00:00;https://www.youtube.com/watch?v=x-VmpKMA8pw;12.0;12516.83
GRÊMIO 3 X 2 FLAMENGO | MELHORES MOMENTOS | 29ª RODADA DO BRASILEIRÃO 2023 | ge.globo;856329;29845;2353;2023-10-26 02:52:18+00:00;https://www.youtube.com/watch?v=jBdJJhGEsu8;11.0;77848.09
PALMEIRAS 5 X 0 SÃO PAULO | MELHORES MOMENTOS | 29ª RODADA DO BRASILEIRÃO 2023 | ge.globo;716051;28692;2879;2023-10-26 01:44:09+00:00;https://www.youtube.com/watch?v=E5Yn6JdFC9A;12.0;59670.92
O DIA QUE CONSEGUI 1000 NÍVEIS DE XP;277786;11109;384;2023-10-25 12:30:03+00:00;https://www.youtube.com/watch?v=5MHnBJ6qgRM;26.0;10684.08
CUIABÁ 0 X 1 CORINTHIANS | MELHORES MOMENTOS | 29ª RODADA DO BRASILEIRÃO 2023 | ge.globo;428996;15505;699;2023-10-26 02:46:32+00:00;https://www.youtube.com/watch?v=YJOJnimeEzk;11.0;38999.64
Danilo e Davi - Tive Que Bater Palma (Clipe Oficial);275824;9606;480;2023-10-25 14:59:44+00:00;https://www.youtube.com/watch?v=f658QVQi7t8;23.0;11992.35
MBAPPÉ MARCA GOLAÇO E PSG ASSUME A LIDERANÇA DO GRUPO! PSG 3 X 0 MILAN | CHAMPIONS 23/24;724393;35367;1443;2023-10-25 21:13:04+00:00;https://www.youtube.com/watch?v=zcnKu4p2FG8;17.0;42611.35
JOGOS PAN-AMERICANOS | REBECA ANDRADE É OURO NO SALTO;770151;10325;377;2023-10-24 22:20:22+00:00;https://www.youtube.com/watch?v=IOZKLjT69UQ;40.0;19253.78
HAALAND CRAVA DUAS VEZES E SALVA O MANCHESTER CITY NA CHAMPIONS! YOUNG BOYS 1 X 3 MANCHESTER CITY;838661;45651;2286;2023-10-25 21:10:35+00:00;https://www.youtube.com/watch?v=O8KhwcaECH0;17.0;49333.0
ARK: Survival Ascended Launch Trailer;1114570;63705;6790;2023-10-25 17:31:03+00:00;https://www.youtube.com/watch?v=0gLODoXanog;21.0;53074.76
A Boogie Wit da Hoodie - Did Me Wrong [Official Music Video];1599041;51435;2417;2023-10-24 20:00:07+00:00;https://www.youtube.com/watch?v=Hyw5X6Ohw0k;42.0;38072.4
Most Memorable Year - Len Goodman Tribute | Dancing with the Stars;491941;10569;1031;2023-10-25 01:58:08+00:00;https://www.youtube.com/watch?v=IK2itAsB-8Y;36.0;13665.03
Super Mario Wonder (dunkview);1853805;120031;2661;2023-10-24 19:30:04+00:00;https://www.youtube.com/watch?v=eXhfuicuUa0;43.0;43111.74
I Almost Lost The Fight;883931;56392;1724;2023-10-24 18:05:05+00:00;https://www.youtube.com/watch?v=ucW2DM2VsIc;44.0;20089.34
Inside the NBA Discuss Victor Wembanyama;697354;7616;907;2023-10-25 05:41:56+00:00;https://www.youtube.com/watch?v=GMQbd2JpFPg;32.0;21792.31
FlightReacts To Golden State Warriors vs Phoenix Suns Full Game Highlights | October 24, 2023!;187134;10532;589;2023-10-25 05:50:03+00:00;https://www.youtube.com/watch?v=mfIRsCe4Vnw;32.0;5847.94
PSA: Don’t Send this Photo on Discord!;344768;22128;2594;2023-10-25 14:00:12+00:00;https://www.youtube.com/watch?v=Kyc_ysVgBMs;24.0;14365.33
Estranged son of Nashville chief wanted for shooting 2 officers found dead: TBI;176271;1406;1031;2023-10-25 13:31:23+00:00;https://www.youtube.com/watch?v=qtVRmcWj6oY;25.0;7050.84
Jessi (제시) - 'Gum' MV;944787;116697;5550;2023-10-25 08:58:11+00:00;https://www.youtube.com/watch?v=fyqu7I0U_i0;29.0;32578.86
