video;views;likes;comentarios;publicacao;link_video;categoria;horas-publicacao;views/hour
VINI JR CRAVA, RODRYGO FAZ GOLAÇO E REAL SE CLASSIFICA! REAL MADRID 3 X 0 BRAGA | CHAMPIONS;1359713;73549;1650;2023-11-08 22:08:04+00:00;https://www.youtube.com/watch?v=8bvY-YpAeQs;Sports;18.0;75539.61
FLAMENGO 3 X 0 PALMEIRAS | MELHORES MOMENTOS | 33ª RODADA BRASILEIRÃO 2023 | ge.globo;1525278;59646;4142;2023-11-09 02:28:15+00:00;https://www.youtube.com/watch?v=0R1AU9ZL3Y0;Sports;14.0;108948.43
LIGA MFL: GRANDE FINAL| NOISE - CRIAS - FAZ O P - FLAMDL | Free Fire AO VIVO #ligamfl - DIA 2;621269;51287;81;2023-11-09 03:26:37+00:00;https://www.youtube.com/watch?v=s5eiOSaIu7Y;Gaming;13.0;47789.92
MUDANÇA RADICAL AQUI NO SÍTIO - NOVA FASE - RECOMEÇO ❤️ INVESTIMENTO PESADO! 🙌🙏 FRAN ADORNO;288951;35153;4309;2023-11-08 19:04:49+00:00;https://www.youtube.com/watch?v=rAXw2WOOJd4;Entertainment;21.0;13759.57
SEM VIRADA HOJE! OLHA COMO O CRAQUE NETO REAGIU A FLAMENGO 3X0 PALMEIRAS PELO BRASILEIRÃO;130991;6094;517;2023-11-09 02:47:40+00:00;https://www.youtube.com/watch?v=fkltXNCtGdc;Sports;13.0;10076.23
VOLTEI COM A MARIA EMANUELLY!!?;184237;16248;845;2023-11-08 23:01:08+00:00;https://www.youtube.com/watch?v=gP03BLp3XYc;People & Blogs;17.0;10837.47
GTA 6 oficialmente ANUNCIADO e trailer em DEZEMBRO;226843;40251;1066;2023-11-08 14:22:25+00:00;https://www.youtube.com/watch?v=W3Tsyf_OZEw;Gaming;26.0;8724.73
A Ludmilla e o Hino Nacional (HUMOR);241411;18304;846;2023-11-08 14:28:05+00:00;https://www.youtube.com/watch?v=KbbjAHzDSmk;Comedy;26.0;9285.04
TÕE TROCA O CARRO DE TIRINGA EM UM BAR CHEIO DE CACHAÇA 😂😂 | CHÁCARA COMÉDIA SELVAGEM;204168;23183;399;2023-11-08 21:06:19+00:00;https://www.youtube.com/watch?v=VDWNF0cU8Tk;Comedy;19.0;10745.68
GTA 6 É OFICIALMENTE ANUNCIADO PELA ROCKSTAR;167248;32664;3043;2023-11-08 19:48:52+00:00;https://www.youtube.com/watch?v=ha4lbP4HSck;Gaming;20.0;8362.4
GHOSTBUSTERS: FROZEN EMPIRE - Official Teaser Trailer (HD);1298140;32913;3129;2023-11-08 16:00:44+00:00;https://www.youtube.com/watch?v=k_6CbpF2FSk;Entertainment;24.0;54089.17
Mean Girls | Official Trailer (2024 Movie);2765284;14647;1935;2023-11-08 14:00:03+00:00;https://www.youtube.com/watch?v=fFtdbEgnUOk;Film & Animation;26.0;106357.08
"""I Might Forgive... But I Don't Forget"" Full Conversation with Jay ""Jeezy"" Jenkins & Nia Long";1339380;63452;9351;2023-11-07 23:00:07+00:00;https://www.youtube.com/watch?v=YZhyxRv4CyE;Entertainment;41.0;32667.8
Dead by Daylight | Chucky | Official Trailer;509246;39891;2779;2023-11-08 16:00:32+00:00;https://www.youtube.com/watch?v=78JQFN4NLKk;Gaming;24.0;21218.58
The Marvels - Movie Review;735807;46146;5558;2023-11-08 17:00:21+00:00;https://www.youtube.com/watch?v=QV9PFHxlXns;Entertainment;23.0;31991.61
10 Things Fanum Can't Live Without | GQ;357573;26330;799;2023-11-08 17:00:20+00:00;https://www.youtube.com/watch?v=7jLsiSpu7IE;Entertainment;23.0;15546.65
The Official GTA 6 Trailer Announcement (Confirmed by Rockstar Games);400511;11953;1331;2023-11-08 13:51:42+00:00;https://www.youtube.com/watch?v=WXW07BA5FmU;Gaming;26.0;15404.27
ITS BACK...;323090;27136;815;2023-11-08 18:08:14+00:00;https://www.youtube.com/watch?v=iyfbiBWqguo;Gaming;22.0;14685.91
수진 (SOOJIN) '아가씨' Official MV;4062790;508007;35344;2023-11-08 09:00:27+00:00;https://www.youtube.com/watch?v=1p2cafgpD1M;Music;31.0;131057.74
We Lost our Beautiful Jenny, She Finally Beat Cancer;821090;67581;29629;2023-11-08 06:26:54+00:00;https://www.youtube.com/watch?v=d3OC8tzKNdM;People & Blogs;34.0;24149.71
