video;views;likes;comentarios;publicacao;link_video;horas-publicacao;views/hour
정국 (Jung Kook) 'Standing Next to You' Official MV;7627883;1806914;121914;2023-11-03 04:00:01+00:00;https://www.youtube.com/watch?v=UNo0TG9LwwI;13.0;586760.23
BOTAFOGO 3 X 4 PALMEIRAS | MELHORES MOMENTOS | 31ª RODADA BRASILEIRÃO 2023 | ge.globo;3192827;93966;8526;2023-11-02 03:12:02+00:00;https://www.youtube.com/watch?v=Z8YtuRj5p20;37.0;86292.62
AO VIVO: GINÁSTICA RÍTMICA | FINAIS VALENDO MEDALHA DE OURO PARA O BRASIL | PAN-AMERICANO NA CAZÉTV;342678;12204;8;2023-11-02 21:59:36+00:00;https://www.youtube.com/watch?v=bV-QYBfMkVM;19.0;18035.68
REAÇÃO DO CHRIS ACETO AO AVALIAR RAMON DINO - 2 DIAS PARA O MR. OLYMPIA 2023;609453;52785;3733;2023-11-02 13:34:31+00:00;https://www.youtube.com/watch?v=fHSyX7RjDRs;27.0;22572.33
BASTIDORES DA VIRADA ÉPICA | BOTAFOGO 3 X 4 PALMEIRAS | BRASILEIRO 2023;326358;38978;1083;2023-11-03 00:30:07+00:00;https://www.youtube.com/watch?v=cceoNXztPLw;16.0;20397.38
PASSE DE BATALHA COMPLETO NOVA TEMPORADA! - Fortnite;51105;3354;146;2023-11-03 09:30:00+00:00;https://www.youtube.com/watch?v=342vRC-u0AI;7.0;7300.71
The Beatles - Now And Then (Official Audio);5655419;288339;30180;2023-11-02 14:01:47+00:00;https://www.youtube.com/watch?v=AW55J2zE3N4;26.0;217516.12
Hate You;822758;140789;0;2023-11-03 04:00:08+00:00;https://www.youtube.com/watch?v=D1cEMLGvAQk;13.0;63289.08
SUPERLIVE: CANOAGEM, POLO AQUÁTICO, WRESTLING, VELA  E MAIS ESPORTES | PAN-AMERICANO 2023 NA CAZÉTV;363707;12295;12;2023-11-02 16:21:16+00:00;https://www.youtube.com/watch?v=w7l5UOJUQuo;24.0;15154.46
Trailer de Jogabilidade do Capítulo 4: Temporada Raiz do Fortnite;128426;11931;1244;2023-11-02 18:39:42+00:00;https://www.youtube.com/watch?v=GoFDpkN0GRM;22.0;5837.55
Megan Thee Stallion - Cobra [Official Video];788629;135954;10507;2023-11-03 04:00:07+00:00;https://www.youtube.com/watch?v=DOZNRoL0310;13.0;60663.77
정국 (Jung Kook) 'Standing Next to You' Official MV;7627883;1807208;121852;2023-11-03 04:00:01+00:00;https://www.youtube.com/watch?v=UNo0TG9LwwI;13.0;586760.23
The Beatles - Now And Then (Official Audio);5655419;288345;30182;2023-11-02 14:01:47+00:00;https://www.youtube.com/watch?v=AW55J2zE3N4;26.0;217516.12
Fortnite Chapter 4: Season OG Gameplay Trailer;2970257;204412;14341;2023-11-02 18:39:41+00:00;https://www.youtube.com/watch?v=CZLcCeH2dHU;22.0;135011.68
Kingdom of the Planet of the Apes | Teaser Trailer;2803868;85742;6286;2023-11-02 15:00:26+00:00;https://www.youtube.com/watch?v=NQ_HvTBaFoo;26.0;107841.08
Fortnite Chapter 4: Season OG - Return to Tilted Towers;2199097;124701;7343;2023-11-02 14:00:01+00:00;https://www.youtube.com/watch?v=30jALc1_K7g;27.0;81448.04
Candy Thieves vs Rigged Candy Bowl;8279359;351754;9792;2023-11-01 19:30:44+00:00;https://www.youtube.com/watch?v=Zb01RStdzEs;45.0;183985.76
*NEW* FORTNITE OG Battle Pass! (Chapter 1 Skins);484704;12101;711;2023-11-03 09:12:00+00:00;https://www.youtube.com/watch?v=RuZG7A-ie54;7.0;69243.43
The Fall Guy | Official Trailer;7100647;76987;6545;2023-11-02 14:59:31+00:00;https://www.youtube.com/watch?v=j7jPnwVGdZ8;26.0;273101.81
The Greatest Golf Shot in History.;815743;42471;3958;2023-11-02 13:58:00+00:00;https://www.youtube.com/watch?v=fSwEDeelW_E;27.0;30212.7
